SampleID	Group
P573	group1
P574	group2
P575	group1
P576	group2
P581	group1
P582	group2
P583	group1
P648	group2
P649	group1
P652	group2
P656	group1
P657	group2
P658	group1
P663	group2
P664	group1
P666	group2
P667	group1
P668	group2
P669	group1
P672	group2
P673	group1
P674	group2
P680	group1
P681	group2
P683	group1
P685	group2
P691	group1
P692	group2
P695	group1
P696	group2
P697	group1
P698	group2
P714	group1
P715	group2
P716	group1
P717	group2
P733	group1
P734	group2
P735	group1
P737	group2
P738	group1
P739	group2
P740	group1
P741	group2
P782	group1
P792	group2
P793	group1
P803	group2
P804	group1
P805	group2
P806	group1
P808	group2
P810	group1
P811	group2
P812	group1
P813	group2
P815	group1
P816	group2
P817	group1
P843	group2
P844	group1
P845	group2
P846	group1
P847	group2
P848	group1
P851	group2
P856	group1
P862	group2
P1185	group1
P1186	group2
P1202	group1
P1203	group2
P1204	group1
P1206	group2
P1207	group1
P1208	group2
P1209	group1
P1210	group2
P1211	group1
P1212	group2
P1213	group1
P1214	group2
P1215	group1
P1216	group2
P1219	group1
P1220	group2
P1221	group1
P1222	group2
P1223	group1
P1254	group2
P1255	group1
P1267	group2
P1268	group1
P1269	group2
P1270	group1
P1271	group2
P1272	group1
P1273	group2
P1274	group1
P1275	group2
P1278	group1
P1279	group2
P1280	group1
P1281	group2
P1282	group1
P1283	group2
P1284	group1
P1285	group2
P1298	group1
P1299	group2
P1300	group1
P1303	group2
P1304	group1
P1305	group2
P1306	group1
P1307	group2
P1308	group1
P1309	group2
P1311	group1
P1312	group2
P1314	group1
P1315	group2
P1316	group1
P1317	group2
P1318	group1
P1319	group2
P1320	group1
P1321	group2
P1322	group1
P1323	group2
P1324	group1
P1328	group2
P1330	group1
P1331	group2
P1333	group1
P1334	group2
P1338	group1
P1339	group2
P1340	group1
P1341	group2
P1342	group1
P1343	group2
P1344	group1
P1345	group2
P1349	group1
P1351	group2
P1352	group1
P1353	group2
P1354	group1
P1355	group2
P1356	group1
P1359	group2
P1360	group1
P1364	group2
P1365	group1
P1366	group2
P1367	group1
P1514	group2
P1515	group1
P1516	group2
P1517	group1
P1518	group2
P1519	group1
P1521	group2
P1523	group1
P1524	group2
P1525	group1
P1526	group2
P1527	group1
P1528	group2
P1613	group1
P1623	group2
P1626	group1
P1652	group2
P1656	group1
P1657	group2
P1658	group1
P1659	group2
P1660	group1
P1661	group2
P1662	group1
P1663	group2
P1664	group1
P1665	group2
P1666	group1
P1667	group2
P1668	group1
P1669	group2
P1670	group1
P1675	group2
P1676	group1
P1686	group2
P1711	group1
P1712	group2
P1753	group1
P1755	group2
P1756	group1
P1757	group2
P1758	group1
P1759	group2
P1760	group1
P1765	group2
P1767	group1
P1768	group2
P1769	group1
P1771	group2
P1773	group1
P1775	group2
P1777	group1
P1778	group2
P1780	group1
P1781	group2
P1782	group1
P1783	group2
P1784	group1
P1785	group2
P1786	group1
P1787	group2
P1788	group1
P1793	group2
P1800	group1
P1801	group2
P1804	group1
P1806	group2
P1807	group1
P1808	group2
P1809	group1
P1810	group2
P1811	group1
P1812	group2
P1813	group1
P1814	group2
P1815	group1
P1816	group2
P1817	group1
P1818	group2
P1819	group1
P1820	group2
P1821	group1
P1822	group2
P1823	group1
P1824	group2
P1825	group1
P1826	group2
P1827	group1
P1828	group2
P1829	group1
P1830	group2
P1831	group1
P1832	group2
P1835	group1
P1836	group2
P1837	group1
P1838	group2
P1839	group1
P1840	group2
P1841	group1
P1842	group2
P1843	group1
P1844	group2
P1851	group1
P1852	group2
P1853	group1
P1854	group2
P1855	group1
P1857	group2
P1860	group1
P1861	group2
P1862	group1
P1863	group2
P1864	group1
P1865	group2
P1866	group1
P1867	group2
P1868	group1
P1869	group2
P1870	group1
P1871	group2
P1872	group1
P1873	group2
P1874	group1
P1875	group2
P1876	group1
P1877	group2
P1878	group1
P1879	group2
P1880	group1
P1881	group2
P1882	group1
P1883	group2
P1884	group1
P1885	group2
P1886	group1
P1887	group2
P1888	group1
P1889	group2
P1890	group1
P1891	group2
P1892	group1
P1893	group2
P1894	group1
P1895	group2
P1896	group1
P1897	group2
P1898	group1
P1899	group2
P1900	group1
P1901	group2
P1902	group1
P1903	group2
P1905	group1
P1908	group2
P1909	group1
P1910	group2
P1911	group1
P1912	group2
P1913	group1
P1914	group2
P1915	group1
P1916	group2
P1917	group1
P1918	group2
P1919	group1
P1920	group2
P1924	group1
P1928	group2
P1929	group1
P1930	group2
P1931	group1
P1932	group2
P1933	group1
P1934	group2
P1935	group1
P1936	group2
P1937	group1
P1938	group2
P1939	group1
P1940	group2
P1941	group1
P1942	group2
P1943	group1
P1944	group2
P1945	group1
P1946	group2
P1947	group1
P1948	group2
P1949	group1
P1951	group2
P1952	group1
P1953	group2
P1957	group1
P1959	group2
P1961	group1
P1967	group2
P1969	group1
P1971	group2
P1972	group1
P1975	group2
P1976	group1
P1977	group2
P1978	group1
P1980	group2
P1983	group1
P1984	group2
P1990	group1
P1991	group2
P1992	group1
P1997	group2
P2010	group1
P2012	group2
P2013	group1
P2014	group2
P2015	group1
P2016	group2
P2017	group1
P2018	group2
P2019	group1
P2020	group2
P2021	group1
P2024	group2
P2026	group1
P2029	group2
P2045	group1
P2057	group2
P2058	group1
P2063	group2
P2064	group1
P2065	group2
P2066	group1
P2067	group2
P2075	group1
P2076	group2
P2078	group1
P2079	group2
P2080	group1
P2083	group2
P2094	group1
P2096	group2
P2097	group1
P2098	group2
P2099	group1
P2100	group2
P2101	group1
P2102	group2
P2103	group1
P2104	group2
P2105	group1
P2106	group2
P2107	group1
P2109	group2
P2110	group1
P2153	group2
P2154	group1
P2155	group2
P2156	group1
P2158	group2
P2159	group1
P2160	group2
P2161	group1
P2162	group2
P2163	group1
P2164	group2
P2165	group1
P2166	group2
P2172	group1
P2173	group2
P2174	group1
P2175	group2
P2176	group1
P2177	group2
P2178	group1
P2179	group2
P2180	group1
P2181	group2
P2182	group1
P2183	group2
P2184	group1
P2185	group2
P2186	group1
P2187	group2
P2188	group1
P2189	group2
P2190	group1
P2191	group2
P2192	group1
P2193	group2
P2195	group1
P2196	group2
P2197	group1
P2198	group2
P2199	group1
P2200	group2
P2201	group1
P2202	group2
P2203	group1
P2204	group2
P2205	group1
P2206	group2
P2207	group1
P2208	group2
P2209	group1
P2210	group2
P2211	group1
P2212	group2
P2213	group1
P2214	group2
P2215	group1
P2216	group2
P2217	group1
P2218	group2
P2219	group1
P2220	group2
P2221	group1
P2222	group2
P2223	group1
P2224	group2
P2225	group1
P2226	group2
P2227	group1
P2228	group2
P2229	group1
P2234	group2
P2235	group1
P2236	group2
P2237	group1
P2238	group2
P2239	group1
P2242	group2
P2243	group1
P2244	group2
P2245	group1
P2246	group2
P2248	group1
P2249	group2
P2250	group1
P2251	group2
P2255	group1
P2256	group2
P2257	group1
P2258	group2
P2259	group1
P2260	group2
P2261	group1
P2263	group2
P2264	group1
P2269	group2
P2272	group1
P2275	group2
P2282	group1
P2283	group2
P2284	group1
P2285	group2
P2286	group1
P2287	group2
P2288	group1
P2289	group2
P2293	group1
P2294	group2
P2301	group1
P2302	group2
P2303	group1
P2304	group2
P2305	group1
P2306	group2
P2307	group1
P2308	group2
P2311	group1
P2317	group2
P2319	group1
P2321	group2
P2322	group1
P2323	group2
P2324	group1
P2325	group2
P2327	group1
P2329	group2
P2333	group1
P2339	group2
P2342	group1
P2343	group2
P2344	group1
P2345	group2
P2350	group1
P2351	group2
P2352	group1
P2353	group2
P2354	group1
P2355	group2
P2356	group1
P2357	group2
P2358	group1
P2359	group2
P2360	group1
P2361	group2
P2362	group1
P2363	group2
P2364	group1
P2365	group2
P2366	group1
P2367	group2
P2368	group1
P2369	group2
P2370	group1
P2371	group2
P2372	group1
P2373	group2
P2374	group1
P2375	group2
P2377	group1
P2378	group2
P2379	group1
P2380	group2
P2381	group1
P2382	group2
P2383	group1
P2384	group2
P2385	group1
P2386	group2
P2387	group1
P2388	group2
P2389	group1
P2390	group2
P2391	group1
P2392	group2
P2393	group1
P2394	group2
P2395	group1
P2396	group2
P2397	group1
P2398	group2
P2399	group1
P2401	group2
P2402	group1
P2404	group2
P2528	group1
P2529	group2
P2530	group1
P2531	group2
P2532	group1
P2533	group2
P2534	group1
P2535	group2
P2536	group1
P2537	group2
P2538	group1
P2541	group2
P2544	group1
P2545	group2
P2548	group1
P2549	group2
P2550	group1
P2551	group2
P2552	group1
P2553	group2
P2554	group1
P2555	group2
P2556	group1
P2572	group2
P2573	group1
P2577	group2
P2578	group1
P2579	group2
P2580	group1
P2581	group2
P2583	group1
P2584	group2
P2587	group1
P2588	group2
P2589	group1
P2590	group2
P2592	group1
P2593	group2
P2594	group1
P2595	group2
P2597	group1
P2598	group2
P2599	group1
P2600	group2
P2601	group1
P2602	group2
P2603	group1
P2604	group2
P2605	group1
P2606	group2
P2607	group1
P2609	group2
P2610	group1
P2611	group2
P2612	group1
P2643	group2
P2644	group1
P2645	group2
P2646	group1
P2647	group2
P2648	group1
P2649	group2
P2650	group1
P2651	group2
P2652	group1
P2653	group2
P2654	group1
P2655	group2
P2656	group1
P2657	group2
P2658	group1
P2684	group2
P2685	group1
P2686	group2
P2687	group1
P2688	group2
P2689	group1
P2690	group2
P2691	group1
P2692	group2
P2694	group1
P2695	group2
P2696	group1
P2697	group2
P2698	group1
P2699	group2
P2702	group1
P2705	group2
P2719	group1
P2720	group2
P2721	group1
P2724	group2
P2727	group1
P2728	group2
P2739	group1
P2741	group2
P2742	group1
P2743	group2
P2744	group1
P2758	group2
P2759	group1
P2760	group2
P2767	group1
P2773	group2
P2776	group1
P2781	group2
P2785	group1
P2803	group2
P2806	group1
P2808	group2
P2811	group1
P2815	group2
P2821	group1
P2823	group2
P2824	group1
P2825	group2
P2826	group1
P2827	group2
P2828	group1
P2829	group2
P2836	group1
P2837	group2
P2839	group1
P2840	group2
P2841	group1
P2843	group2
P2844	group1
P2845	group2
P2850	group1
P2851	group2
P2852	group1
P2853	group2
P2854	group1
P2855	group2
P2856	group1
